,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Other Current Liabilities,1875000000.0,1942000000.0,2803000000.0,2069000000.0,
Current Deferred Liabilities,,,,,7000000.0
Current Deferred Revenue,,,,,7000000.0
Current Debt And Capital Lease Obligation,1028000000.0,1765000000.0,1302000000.0,3302000000.0,
Current Debt,1028000000.0,1765000000.0,1302000000.0,3302000000.0,
Other Current Borrowings,1028000000.0,1765000000.0,1302000000.0,3302000000.0,
Payables And Accrued Expenses,3943000000.0,2612000000.0,3734000000.0,2625000000.0,
Current Accrued Expenses,,,906000000.0,737000000.0,788000000.0
Payables,,,2828000000.0,1888000000.0,1360000000.0
Dueto Related Parties Current,,,0.0,131000000.0,107000000.0
Accounts Payable,,,2828000000.0,1757000000.0,1253000000.0
Total Assets,52926000000.0,50758000000.0,46909000000.0,48086000000.0,
Total Non Current Assets,42150000000.0,42459000000.0,37549000000.0,40105000000.0,
Other Non Current Assets,19483000000.0,18308000000.0,16173000000.0,17655000000.0,
Defined Pension Benefit,,,0.0,1683000000.0,1558000000.0
Non Current Deferred Assets,0.0,52000000.0,44000000.0,32000000.0,
Non Current Deferred Taxes Assets,0.0,52000000.0,44000000.0,32000000.0,
Non Current Accounts Receivable,,,,,293000000.0
Financial Assets,372000000.0,995000000.0,1261000000.0,949000000.0,
Investments And Advances,640000000.0,563000000.0,202000000.0,174000000.0,
Other Investments,100000000.0,82000000.0,68000000.0,112000000.0,
Investmentin Financial Assets,538000000.0,474000000.0,52000000.0,15938000000.0,
Available For Sale Securities,538000000.0,474000000.0,52000000.0,15938000000.0,
Long Term Equity Investment,2000000.0,7000000.0,82000000.0,62000000.0,
Goodwill And Other Intangible Assets,420000000.0,425000000.0,47000000.0,,47000000.0
Goodwill,420000000.0,425000000.0,47000000.0,,47000000.0
Net PPE,21235000000.0,22116000000.0,19822000000.0,19612000000.0,
Accumulated Depreciation,-18088000000.0,-17423000000.0,-16726000000.0,-15873000000.0,
Gross PPE,39323000000.0,39539000000.0,36548000000.0,35485000000.0,
Construction In Progress,1273000000.0,1133000000.0,630000000.0,399000000.0,
Other Properties,15000000.0,14000000.0,8000000.0,10000000.0,
Properties,38035000000.0,38392000000.0,35910000000.0,35076000000.0,
Current Assets,10776000000.0,8299000000.0,9360000000.0,7981000000.0,
Other Current Assets,1486000000.0,2315000000.0,1643000000.0,1527000000.0,
Hedging Assets Current,843000000.0,1179000000.0,2368000000.0,2169000000.0,
Assets Held For Sale Current,,,,13000000.0,958000000.0
Restricted Cash,107000000.0,86000000.0,106000000.0,72000000.0,
Inventory,1600000000.0,1500000000.0,1505000000.0,1288000000.0,
Raw Materials,1600000000.0,1500000000.0,1505000000.0,1288000000.0,
Receivables,3718000000.0,2851000000.0,3316000000.0,2421000000.0,
Other Receivables,602000000.0,917000000.0,731000000.0,592000000.0,
Duefrom Related Parties Current,,,0.0,160000000.0,153000000.0
Accounts Receivable,3116000000.0,1934000000.0,2585000000.0,1669000000.0,
Allowance For Doubtful Accounts Receivable,-190000000.0,-56000000.0,-46000000.0,-55000000.0,
Gross Accounts Receivable,3306000000.0,1990000000.0,2631000000.0,1724000000.0,
Cash Cash Equivalents And Short Term Investments,3022000000.0,368000000.0,422000000.0,504000000.0,
Cash And Cash Equivalents,3022000000.0,368000000.0,422000000.0,504000000.0,
